zip_code,customer_id,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,status,churn_label,churn_category,churn_reason,gender,age,senior_citizen,married,num_dependents,area_id,city,latitutde,longitude,population
91208,4827-USJHP,ACLC-PRMCH,20,0,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,3.94,78.8,18,No,No,No,51.8,1023.85,0.0,Stayed,No,,,Male,45,No,No,0,186,Glendale,34.195386,-118.238508,16910
94060,0281-CNTZX,ACOG-YBIQX,63,2,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,38.36,2416.68,0,No,No,No,19.95,1234.8,0.0,Stayed,No,,,Male,56,No,Yes,0,878,Pescadero,37.22565,-122.297533,2055
92059,3454-JFUBC,ACRR-TDNAI,68,0,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,10.48,712.64,0,No,No,No,20.0,1396.0,0.0,Stayed,No,,,Male,66,Yes,No,0,333,Pala,33.384345,-117.072619,1831
90712,2446-BEGGB,ACSF-MFCZF,6,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,47.35,284.1,29,Yes,Yes,Yes,98.25,560.6,0.0,Churned,Yes,Attitude,Attitude of support person,Female,79,Yes,No,0,134,Lakewood,33.840524,-118.148403,30173
94555,2792-LSHWX,ACXJ-PKPUC,1,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,43.06,43.06,9,No,No,No,83.4,83.4,0.0,Joined,No,,,Female,49,No,No,0,961,Fremont,37.555473,-122.080312,33883
92227,0928-XUTSN,ADCJ-UZYUN,13,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,44.99,584.87,27,No,Yes,Yes,80.5,1011.8,24.99,Stayed,No,,,Female,22,No,No,0,389,Brawley,33.03933,-115.191857,23394
91306,2984-RGEYA,ADCZ-RQOBI,69,9,No,None,No,Yes,No,No,No,No,No,Two Year,No,Bank Withdrawal,5.27,363.63,0,No,No,No,19.75,1375.4,0.0,Stayed,No,,,Female,38,No,Yes,0,192,Winnetka,34.209532,-118.577563,43857
95953,4726-DLWQN,ADGT-CAQML,50,0,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,25.23,1261.5,23,Yes,No,No,70.35,3454.6,0.0,Stayed,No,,,Male,69,Yes,No,0,1488,Live Oak,39.258746,-121.77697,8695
94112,0568-ONFPC,ADHD-XTYYU,5,1,No,None,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,40.05,200.25,0,No,No,No,25.9,135.0,0.0,Churned,,Other,Moved,Male,34,No,Yes,1,899,San Francisco,37.720498,-122.443119,73117
94569,2091-RFFBA,ADKI-PEMCS,31,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,15.43,478.33,2,No,No,No,73.9,2217.15,0.0,Churned,Yes,Attitude,Attitude of support person,Female,70,Yes,No,0,973,Port Costa,38.035707,-122.196821,173
94965,3426-NIYYL,ADRM-SVMYA,15,0,Yes,DSL,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,3.15,47.25,26,No,No,No,51.55,765.5,0.0,Churned,Yes,Attitude,Attitude of support person,Male,47,No,No,0,1053,Sausalito,37.848641,-122.515692,11213
93664,1415-YFWLT,ADZJ-IEPGE,1,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30.23,30.23,30,Yes,Yes,No,89.3,89.3,0.0,Churned,Yes,Competitor,Competitor had better devices,Female,68,Yes,No,0,813,Shaver Lake,37.223,-119.001021,642
95519,2576-HXMPA,AEAR-NKQQU,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,8.23,8.23,0,No,No,No,19.55,19.55,0.0,Joined,No,,,Female,30,No,No,0,1288,Mckinleyville,40.965011,-124.015255,15921
96085,3359-DSRKA,AEAR-OJGZU,58,9,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,11.81,684.98,0,No,No,No,19.85,1158.85,0.0,Stayed,No,,,Female,48,No,Yes,3,1578,Scott Bar,41.737962,-123.07557,88
90301,1320-REHCS,AEKV-YJJYC,52,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,23.04,1198.08,25,Yes,Yes,Yes,110.75,5832.0,6.26,Stayed,No,,,Male,75,Yes,No,0,97,Inglewood,33.956445,-118.358634,37527
93266,4957-TREIR,AENQ-SYIBG,3,0,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card,38.05,114.15,7,Yes,No,No,64.4,195.65,0.0,Joined,No,,,Male,37,No,No,0,674,Stratford,36.175255,-119.813805,1729
90814,5149-QYTTU,AEPR-BBJTO,71,3,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,34.53,2451.63,19,No,No,No,95.15,6770.85,0.0,Stayed,No,,,Female,35,No,Yes,1,158,Long Beach,33.771612,-118.143866,19034
95113,2176-LVPNX,AEUA-TAESQ,71,0,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,37.39,2654.69,22,Yes,Yes,No,89.85,6293.45,0.0,Stayed,No,,,Female,69,Yes,No,0,1096,San Jose,37.333851,-121.891147,561
95232,3831-YCPUO,AFCP-AGGFB,72,3,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,32.23,2320.56,19,Yes,Yes,Yes,109.5,7854.9,0.0,Stayed,No,,,Female,38,No,Yes,1,1143,Glencoe,38.358464,-120.579304,21
94558,0014-BMAQU,AFEO-XOOCP,63,8,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,12.96,816.48,7,No,No,No,84.65,5377.8,0.0,Stayed,No,,,Male,52,No,Yes,0,963,Napa,38.489789,-122.27011,63947
95436,4741-WWJQZ,AFGV-EDCCQ,2,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,26.58,53.16,23,No,No,No,80.15,194.55,0.0,Joined,No,,,Female,49,No,Yes,0,1243,Forestville,38.499302,-122.92444,6216
91706,3638-VBZTA,AFHO-LCFIG,68,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,11.5,782.0,29,Yes,Yes,Yes,86.5,5882.75,0.0,Stayed,No,,,Male,62,No,No,0,242,Baldwin Park,34.098275,-117.967399,76890
90706,0428-AXXLJ,AFKF-DLQEA,25,0,No,None,No,Yes,No,No,No,No,No,One Year,Yes,Bank Withdrawal,3.58,89.5,0,No,No,No,19.5,516.3,0.0,Stayed,No,,,Male,29,No,No,0,132,Bellflower,33.887676,-118.127289,72893
95822,3646-ITDGM,AFPP-JXMIC,56,0,No,None,No,Yes,No,No,No,No,No,Two Year,No,Bank Withdrawal,32.88,1841.28,0,No,No,No,19.7,1051.9,0.0,Stayed,No,,,Female,42,No,No,0,1434,Sacramento,38.512569,-121.495184,44683
93426,4312-KFRXN,AFWE-HDSOX,72,2,No,None,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,34.29,2468.88,0,No,No,No,25.4,1710.9,0.0,Stayed,No,,,Male,61,No,Yes,0,705,Bradley,35.842889,-121.004862,1363
92064,2088-IEBAU,AGDJ-KWXRZ,68,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,21.82,1483.76,2,Yes,Yes,Yes,88.15,6148.45,36.29,Stayed,No,,,Female,63,No,No,0,336,Poway,32.984395,-117.013454,47969
92230,2108-XWMPY,AGOK-EXYMU,3,0,Yes,DSL,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,0.0,0.0,85,No,No,No,35.45,106.85,0.0,Churned,,Other,Moved,Male,29,No,No,0,390,Cabazon,33.929812,-116.76058,2355
96109,3902-FOIGH,AGRZ-LTGHP,12,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,48.5,582.0,4,Yes,Yes,No,101.35,1218.55,0.0,Churned,Yes,Dissatisfaction,Product dissatisfaction,Male,66,Yes,Yes,0,1596,Doyle,40.012675,-120.101857,1177
96073,1565-RHDJD,AGXX-KUFPK,4,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,41.72,166.88,69,No,No,Yes,84.05,333.55,0.0,Churned,Yes,Competitor,Competitor offered higher download speeds,Female,21,No,No,0,1572,Palo Cedro,40.582399,-122.195512,4931
95612,0196-JTUQI,AHDR-OUQUJ,9,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,9.27,83.43,28,No,No,No,75.2,633.85,0.0,Stayed,No,,,Female,59,No,No,0,1336,Clarksburg,38.384648,-121.578701,1417
92233,4821-SJHJV,AHFN-WFIHU,32,6,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,48.49,1551.68,82,Yes,No,No,89.6,2901.8,0.0,Stayed,No,,,Female,25,No,Yes,3,392,Calipatria,33.143826,-115.497485,7857
90291,3963-RYFNS,AHLW-TGLOA,72,0,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,48.52,3493.44,51,Yes,Yes,Yes,116.45,8013.55,0.0,Stayed,No,,,Female,25,No,No,0,94,Venice,33.991782,-118.479229,31021
94134,1709-EJDOX,AIET-SRNXM,47,10,No,None,No,Yes,No,No,No,No,No,Two Year,No,Credit Card,41.54,1952.38,0,No,No,No,19.75,948.9,0.0,Stayed,No,,,Female,33,No,Yes,3,915,San Francisco,37.721052,-122.413573,40137
96094,3584-WKTTW,AIKX-RZPVA,51,2,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,39.32,2005.32,76,Yes,Yes,Yes,111.55,5720.35,0.0,Stayed,No,,,Male,23,No,Yes,0,1586,Weed,41.465121,-122.380947,5896
93206,4908-XAXAY,AIMM-PKXRN,49,0,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,47.72,2338.28,21,No,Yes,No,89.85,4287.2,0.0,Stayed,No,,,Female,70,Yes,No,0,637,Buttonwillow,35.451402,-119.488413,2078
93932,4124-MMETB,AIMU-YHUSB,22,0,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,46.28,1018.16,16,Yes,Yes,Yes,94.65,2104.55,0.0,Churned,Yes,Competitor,Competitor offered higher download speeds,Male,52,No,No,0,849,Lockwood,35.989792,-121.055933,538
91942,0019-EFAEP,AIPP-VTDXJ,72,0,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,2.25,162.0,16,Yes,No,No,101.3,7261.25,0.0,Stayed,No,,,Female,32,No,No,0,303,La Mesa,32.782501,-117.01611,24005
96047,4923-ADWXJ,AIVZ-VHWSR,25,0,Yes,DSL,Yes,Yes,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1.22,30.5,10,No,Yes,Yes,65.8,1679.65,29.29,Stayed,No,,,Female,33,No,No,0,1553,Igo,40.524535,-122.647172,911
92234,3951-NJCVI,AJBQ-PQTIO,42,10,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,One Year,Yes,Bank Withdrawal,42.29,1776.18,10,Yes,Yes,No,95.05,3944.5,0.0,Stayed,No,,,Female,76,Yes,Yes,0,393,Cathedral City,33.829583,-116.474131,43141
95686,0362-ZBZWJ,AJHQ-UGVZV,36,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,24.66,887.76,22,No,Yes,Yes,84.9,3067.2,0.0,Churned,Yes,Attitude,Attitude of service provider,Male,46,No,No,0,1395,Thornton,38.157794,-121.520223,1472
92691,0839-JTCUD,AJOU-QQPZA,66,9,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,36.36,2399.76,3,Yes,Yes,Yes,89.9,5958.85,0.0,Stayed,No,,,Female,31,No,Yes,0,559,Mission Viejo,33.611945,-117.665867,46371
92276,3061-BCKYI,AJSM-GBZWP,14,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,43.5,609.0,0,No,No,No,19.9,283.75,0.0,Stayed,No,,,Male,27,No,No,0,420,Thousand Palms,33.849263,-116.382778,6242
92880,1346-PJWTK,AJTG-RGRBN,61,1,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,17.73,1081.53,2,No,Yes,Yes,94.15,5731.85,0.0,Stayed,No,,,Male,63,No,Yes,0,598,Corona,33.918043,-117.617809,16998
95425,2026-TGDHM,AKDY-OWUCS,7,0,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.21,134.47,16,No,Yes,Yes,79.3,523.15,0.0,Churned,Yes,Competitor,Competitor had better devices,Female,54,No,No,0,1235,Cloverdale,38.801936,-122.938935,9210
92707,4710-FDUIZ,AKFT-JBSKI,56,2,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,One Year,No,Credit Card,26.15,1464.4,7,Yes,Yes,Yes,100.3,5614.45,0.0,Churned,Yes,Competitor,Competitor offered more data,Male,50,No,Yes,0,567,Santa Ana,33.714829,-117.872941,62634
92025,0394-YONDK,AKHG-BKCPI,70,0,No,None,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,1.22,85.4,0,No,No,No,25.15,1790.15,0.0,Stayed,No,,,Male,28,No,Yes,3,322,Escondido,33.081478,-117.033814,49281
93552,1133-KXCGE,AKJX-SJSCD,18,0,No,None,No,Yes,No,No,No,No,No,One Year,No,Mailed Check,18.8,338.4,0,No,No,No,20.1,407.05,0.0,Stayed,No,,,Female,38,No,No,0,760,Palmdale,34.557711,-118.029441,25370
96055,0928-JMXNP,AKMA-IEZLD,4,3,Yes,DSL,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,5,No,No,No,29.9,118.25,0.0,Stayed,No,,,Male,78,Yes,Yes,0,1559,Los Molinos,40.059385,-122.091481,3756
92398,0727-IWKVK,AKUI-DLIRV,9,0,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,19.18,172.62,27,No,No,No,79.9,741.7,0.0,Churned,Yes,Price,Extra data charges,Male,35,No,Yes,0,476,Yermo,35.013299,-116.834092,1195
90713,2740-JFBOK,ALEA-UWZYK,10,0,No,None,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,3.01,30.1,0,No,No,No,24.0,226.55,0.0,Stayed,No,,,Male,35,No,No,0,135,Lakewood,33.847755,-118.112532,27563
95305,3258-SANFR,ALIC-SGOWO,6,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,19.74,118.44,7,No,No,No,44.7,276.5,0.0,Stayed,No,,,Male,69,Yes,No,0,1162,Big Oak Flat,37.818589,-120.256995,167
95978,2911-IJORQ,ALKX-KILBJ,37,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,44.52,1647.24,6,Yes,Yes,Yes,90.6,3358.65,8.96,Stayed,No,,,Male,42,No,No,0,1508,Stirling City,39.904002,-121.527823,28
91361,5019-GQVCR,ALNM-XYDWD,43,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Two Year,Yes,Bank Withdrawal,8.81,378.83,7,Yes,No,No,84.85,3645.6,0.0,Stayed,No,,,Male,74,Yes,No,0,215,Westlake Village,34.130992,-118.894673,18735
92359,1480-BKXGA,ALUP-YAIDG,72,5,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,21.37,1538.64,13,Yes,Yes,Yes,116.05,8404.9,0.0,Stayed,No,,,Male,75,Yes,Yes,0,460,Mentone,34.103578,-117.04054,7324
93563,0112-QWPNC,ALYE-SMSWW,49,1,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,39.55,1937.95,10,Yes,Yes,Yes,84.35,4059.35,0.0,Churned,Yes,Competitor,Competitor offered higher download speeds,Male,61,No,Yes,0,765,Valyermo,34.39583,-117.734568,413
92506,1696-HXOWK,AMCQ-AXZBK,71,6,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,One Year,No,Credit Card,5.22,370.62,10,Yes,No,No,95.65,6856.95,0.0,Stayed,No,,,Female,53,No,Yes,0,489,Riverside,33.930931,-117.361788,42425
95916,0298-XACET,AMNQ-VZXKW,52,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Two Year,No,Credit Card,0.0,0.0,17,Yes,No,No,50.2,2554.0,27.01,Stayed,No,,,Male,35,No,Yes,2,1459,Berry Creek,39.657228,-121.37778,1279
90401,3658-QQJYD,ANBP-PAPBC,62,0,Yes,Cable,Yes,Yes,No,No,Yes,Yes,No,One Year,Yes,Credit Card,38.33,2376.46,30,Yes,Yes,Yes,74.3,4698.05,0.0,Stayed,No,,,Male,56,No,No,0,102,Santa Monica,34.015481,-118.493231,5221
90012,3097-IDVPU,ANNJ-SSJGO,19,10,Yes,DSL,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,9.47,179.93,13,No,No,No,50.1,910.45,0.0,Stayed,No,,,Male,51,No,Yes,2,11,Los Angeles,34.065875,-118.238728,30596
93953,1905-OEILC,ANNT-MTQNL,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,20.11,20.11,0,No,No,No,19.5,19.5,0.0,Joined,No,,,Female,42,No,No,0,853,Pebble Beach,36.587497,-121.944815,4602
96039,1193-RTSLK,AOFG-EHHQC,38,0,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,36.18,1374.84,48,No,No,Yes,83.9,3233.6,0.0,Churned,Yes,Competitor,Competitor offered higher download speeds,Female,26,No,No,0,1549,Happy Camp,41.831901,-123.487478,1294
94965,5095-AESKG,AORF-FGNQY,3,1,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Credit Card,31.61,94.83,20,No,Yes,Yes,91.5,242.95,0.0,Churned,Yes,Competitor,Competitor offered higher download speeds,Female,33,No,Yes,0,1053,Sausalito,37.848641,-122.515692,11213
95462,5201-USSQZ,AOSV-AZYDG,26,1,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Month-to-Month,No,Credit Card,42.26,1098.76,2,No,Yes,Yes,85.9,2196.45,0.0,Stayed,No,,,Female,56,No,Yes,0,1265,Monte Rio,38.471049,-123.015549,1537
95685,3556-BVQGL,AOVW-JVKRU,20,2,No,None,No,Yes,No,No,No,No,No,One Year,Yes,Credit Card,19.15,383.0,0,No,No,No,20.0,416.45,0.0,Stayed,No,,,Female,21,No,Yes,0,1394,Sutter Creek,38.432145,-120.77069,4610
95112,1397-XKKWR,AOXX-EUBFJ,7,0,Yes,DSL,Yes,No,No,No,Yes,No,Yes,One Year,No,Credit Card,0.0,0.0,14,No,No,No,35.3,264.8,0.0,Stayed,No,,,Male,47,No,No,0,1095,San Jose,37.343827,-121.883119,52334
90068,3957-SQXML,APET-NQRSQ,34,10,No,None,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,25.21,857.14,0,No,No,No,24.95,894.3,0.0,Stayed,No,,,Female,61,No,Yes,0,58,Los Angeles,34.137411,-118.328915,21728
90031,3468-DRVQJ,APPT-DCAUM,10,5,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,No,One Year,No,Bank Withdrawal,26.37,263.7,26,Yes,No,No,70.3,676.15,0.0,Stayed,No,,,Female,42,No,Yes,1,28,Los Angeles,34.085807,-118.206617,38415
94925,3524-WQDSG,APSJ-BDCBH,43,8,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,5.25,225.75,59,Yes,Yes,Yes,99.3,4209.95,0.0,Stayed,No,,,Female,29,No,Yes,2,1030,Corte Madera,37.924014,-122.511694,9038
93601,2777-PHDEI,AQCC-MZWIM,1,0,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,29.41,29.41,59,Yes,No,Yes,78.05,78.05,0.0,Churned,Yes,Competitor,Competitor offered more data,Female,20,No,No,0,767,Ahwahnee,37.375816,-119.739935,1968
94502,0562-HKHML,AQCV-BEDYN,71,9,No,None,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,18.99,1348.29,0,No,No,No,23.9,1626.4,0.0,Stayed,No,,,Male,39,No,Yes,1,926,Alameda,37.724817,-122.224363,13996
96117,4293-ETKAP,AQGH-TIUQR,65,10,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,No,Two Year,Yes,Bank Withdrawal,1.83,118.95,13,Yes,Yes,Yes,79.4,5071.9,0.0,Stayed,No,,,Female,42,No,Yes,1,1602,Litchfield,40.507272,-120.338228,385
92130,1899-VXWXM,AQIO-NDEML,48,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Credit Card,24.73,1187.04,4,Yes,Yes,Yes,106.1,5082.8,0.0,Churned,Yes,Other,Don't know,Male,55,No,No,0,377,San Diego,32.957195,-117.202542,28201
96121,2439-LYPMQ,AQNS-LVUPF,38,7,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,4.75,180.5,24,Yes,Yes,No,102.6,4009.2,45.81,Stayed,No,,,Male,79,Yes,Yes,0,1606,Milford,40.181279,-120.392967,481
96103,3374-PZLXD,AQQO-QEFLK,34,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,36.52,1241.68,0,No,No,No,19.7,675.6,0.0,Stayed,No,,,Male,31,No,No,0,1590,Blairsden Graeagle,39.783747,-120.661032,1839
95236,3606-SBKRY,AQUG-OXKDE,31,0,Yes,DSL,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0.0,5,Yes,Yes,Yes,50.05,1523.4,0.0,Stayed,No,,,Male,35,No,No,0,1145,Linden,38.047746,-121.030499,3148
93434,2984-MIIZL,ARAA-XSJEP,4,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,7.26,29.04,29,No,No,No,74.8,321.9,0.0,Churned,Yes,Dissatisfaction,Network reliability,Male,51,No,No,0,712,Guadalupe,34.936,-120.594655,5726
90034,4816-OKWNX,ARFU-NYLGK,50,2,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,36.21,1810.5,22,Yes,Yes,Yes,103.4,5236.4,0.0,Stayed,No,,,Male,38,No,Yes,1,31,Los Angeles,34.030578,-118.399613,58218
